ID	MODEL	SEND	RECEIVE	LATENCY
2	mnist-8	17735935659776084	17735935671657138	5415
59	mnist-8	17735939449320064	17735939535287188	39182
13	mnist-8	17735935924772304	17735936015610208	41402
8	mnist-8	17735935896996008	17735936003377254	48487
6	mnist-8	17735935853640168	17735935965574780	51018
11	mnist-8	17735935917561404	17735936051234168	60926
37	resnet18-v2-7	17735938879311280	17735939028160300	67843
24	mnist-8	17735936005884866	17735936164712982	72392
43	squeezenet1.1-7	17735939066469460	17735939247573362	82545
30	mnist-8	17735936166070066	17735936483981710	144900
38	mobilenetv2-7	17735938886342206	17735939208663250	146910
0	resnet50-v2-7	17735935652095216	17735936157210216	230225
5	squeezenet1.1-7	17735935804802400	17735936383384788	263711
9	resnet18-v2-7	17735935899827430	17735937356184328	663790
29	squeezenet1.1-7	17735936164279378	17735937646342186	675507
35	mobilenetv2-7	17735936589460498	17735938075163138	677166
33	resnet34-v2-7	17735936582525586	17735938085375534	684981
79	mnist-8	17735940412001716	17735941944305492	698406
31	resnet34-v2-7	17735936523084756	17735938088322554	713417
27	resnet18-v2-7	17735936028134226	17735937680690622	753216
12	resnet18-v2-7	17735935922898092	17735937589493696	759615
4	mobilenetv2-7	17735935797228274	17735937553205082	800354
3	resnet50-v2-7	17735935780460332	17735937569023664	815206
17	resnet34-v2-7	17735935946638416	17735937769972104	831054
28	resnet34-v2-7	17735936159285478	17735937993234412	835892
21	resnet34-v2-7	17735935989742308	17735937857031952	851089
15	mobilenetv2-7	17735935941097704	17735937816020952	854568
25	mobilenetv2-7	17735936009434950	17735937904238804	863629
36	inception_v3	17735936592275754	17735938491682890	865727
20	resnet34-v2-7	17735935988126248	17735937968283658	902533
14	resnet34-v2-7	17735935938880280	17735937963936104	922997
22	resnet34-v2-7	17735935996351238	17735938037321484	930250
7	resnet34-v2-7	17735935869904564	17735937910940046	930280
32	densenet-9	17735936557812650	17735938640195948	949126
34	densenet-9	17735936586745648	17735938684324624	956052
1	inception_v3	17735935653814784	17735937789267028	973314
18	inception_v3	17735935948306094	17735938154913146	1005746
16	inception_v3	17735935945027672	17735938452194376	1142737
26	densenet-9	17735936013919970	17735938578392010	1168856
10	inception_v3	17735935911032894	17735938484709224	1173052
19	densenet-9	17735935986443546	17735938593714340	1188364
23	densenet-9	17735935999094944	17735938618720808	1193995
226	mnist-8	17735946545992432	17735949582612242	1384056
47	resnet18-v2-7	17735939140808648	17735942777946000	1657765
62	mnist-8	17735939510729266	17735943324558638	1738299
73	mnist-8	17735939765396970	17735943912314228	1890117
50	squeezenet1.1-7	17735939243517548	17735943753863946	2055764
44	mobilenetv2-7	17735939067457284	17735943757030066	2137453
45	googlenet-9	17735939068361292	17735943905749288	2204825
