ID	MODEL	SEND	RECEIVE	LATENCY
447	mnist-8	17731825058455016	17731825061774824	1513
248	mnist-8	17731591183041194	17731591186593280	1619
872	mnist-8	17732246834060894	17732246837655050	1638
262	mnist-8	17731598814169424	17731598817804120	1656
473	mnist-8	17731856511738834	17731856515405776	1671
993	mnist-8	17732372960218520	17732372963959176	1704
896	mnist-8	17732286698448922	17732286702238546	1727
435	mnist-8	17731812313650108	17731812317513604	1760
991	mnist-8	17732367926751308	17732367930618798	1762
472	mnist-8	17731856107405520	17731856111284350	1767
828	mnist-8	17732198629738810	17732198633617320	1767
283	mnist-8	17731624947426252	17731624951398680	1810
769	mnist-8	17732117769437604	17732117773428738	1819
784	mnist-8	17732147254037228	17732147258068134	1837
686	mnist-8	17732042512041888	17732042516073736	1837
741	mnist-8	17732099189131982	17732099193166644	1838
156	mnist-8	17731443738689784	17731443742733348	1843
857	mnist-8	17732238838863694	17732238842919760	1848
499	mnist-8	17731890206291690	17731890210353014	1851
652	mnist-8	17732021930126738	17732021934203002	1857
699	mnist-8	17732058085264970	17732058089368858	1870
247	mnist-8	17731590753272052	17731590757430574	1895
296	mnist-8	17731632756992586	17731632761175304	1906
963	mnist-8	17732355532041338	17732355536226646	1907
470	mnist-8	17731855297670642	17731855301879538	1918
126	mnist-8	17731428445143248	17731428449407710	1943
869	mnist-8	17732245239171026	17732245243449222	1949
292	mnist-8	17731629976516680	17731629980830642	1966
471	mnist-8	17731856073520320	17731856077853850	1975
243	mnist-8	17731589234509534	17731589238918150	2009
870	mnist-8	17732246083297082	17732246087718736	2015
846	mnist-8	17732231500392926	17732231504827878	2021
511	mnist-8	17731901356059538	17731901360600662	2069
90	mnist-8	17731394823957626	17731394828507976	2073
56	mnist-8	17731306070979388	17731306075738066	2168
466	mnist-8	17731853900035078	17731853904804186	2173
377	mnist-8	17731731528952680	17731731533824342	2220
422	mnist-8	17731802909900498	17731802914842136	2252
55	mnist-8	17731304493179268	17731304498194556	2285
416	mnist-8	17731762542740908	17731762547761560	2288
438	mnist-8	17731819236184706	17731819241247806	2307
634	mnist-8	17732006040992532	17732006046061176	2310
353	mnist-8	17731715091378066	17731715096564290	2363
878	mnist-8	17732272035969362	17732272041196664	2382
790	mnist-8	17732157266483584	17732157271754626	2402
291	mnist-8	17731629779827804	17731629785494772	2582
250	mnist-8	17731592424280462	17731592429992114	2603
0	mnist-8	17731255760323708	17731255766066282	2617
593	mnist-8	17731975840835928	17731975847759738	3155
134	mnist-8	17731432874277858	17731432885619200	5169
236	mnist-8	17731586081276626	17731586094810700	6168
277	mnist-8	17731614555409476	17731614569870678	6591
39	mnist-8	17731288612115532	17731288628562522	7496
419	mnist-8	17731763965257840	17731763982791504	7991
174	mnist-8	17731473745869644	17731473767950838	10064
736	mnist-8	17732076211797486	17732076234691634	10434
273	mnist-8	17731604441280856	17731604464463780	10566
693	mnist-8	17732052018819306	17732052042327346	10714
796	mnist-8	17732176183452514	17732176207409648	10919
48	mnist-8	17731294700127402	17731294724268710	11003
59	mnist-8	17731307887265908	17731307911673836	11124
813	mnist-8	17732185012608002	17732185037557316	11371
246	squeezenet1.1-7	17731590276034420	17731590302461380	12045
265	squeezenet1.1-7	17731599501905530	17731599528348008	12052
724	squeezenet1.1-7	17732069272624862	17732069299074350	12055
494	squeezenet1.1-7	17731887121606340	17731887148065858	12059
848	squeezenet1.1-7	17732232471100650	17732232497581364	12069
659	squeezenet1.1-7	17732027329005446	17732027355542758	12095
723	squeezenet1.1-7	17732069194445306	17732069221044038	12123
313	squeezenet1.1-7	17731654478473558	17731654505140780	12154
271	squeezenet1.1-7	17731602049530478	17731602076234604	12171
450	squeezenet1.1-7	17731825911718330	17731825938486610	12200
923	squeezenet1.1-7	17732306458248380	17732306485039896	12211
719	squeezenet1.1-7	17732067207456324	17732067234442040	12299
406	squeezenet1.1-7	17731754479765870	17731754506822652	12332
888	squeezenet1.1-7	17732281092016870	17732281119146744	12365
448	squeezenet1.1-7	17731825118044200	17731825145214610	12383
733	squeezenet1.1-7	17732074728898828	17732074756108004	12401
651	squeezenet1.1-7	17732021624099182	17732021651398316	12442
